# Retrospective bench points — every tagged GitHub artifact (rakupp-macos-universal,
# arm64 slice) re-run on ONE machine in ONE sitting: 2026-08-31, Darwin 24.6,
# Apple M3, macOS 15.7.4. Supersedes the 2026-08-21 Darwin 25.5 sitting entirely,
# which covered `hashfill` only and whose Raku++ binaries ran 1.3-1.5x slow.
#
# Each release is measured against the Rakudo that was CURRENT ON ITS RELEASE
# DATE — 2026.06 up to 2026-07-24, 2026.07 to 2026-08-21, 2026.08 after — each
# built from source, native arm64, one toolchain for all three. NOTE MoarVM has
# no JIT backend on arm64 (it compiles src/jit/stub.o), so this rakudo column is
# NOT comparable with one measured on an x86_64 host, which does have the JIT.
#
# Method: tools/run-bench.raku, 7 runs per kernel, first discarded, minimum of
# the remaining 6, lanes interleaved, output correctness-gated before timing —
# every engine agreed on every row. Because the rakudo lane is re-measured once
# per release rather than once per sitting, its within-era spread is a direct
# noise figure: ~2%, except `sortby`, which is bimodal at ~168/198ms and should
# not be read tighter than +-18%.
#
# gen-dashboard merges these as an OVERRIDE per engine, not gap-fill: a tag's
# own committed tables were measured on whatever machine that release had, and
# their rakudo column ran under Rosetta 2 until 2026-08-31. Engines absent here
# (mutsu, perl) keep their mined values.
#
# Not covered: v0.1.0, v0.5.0 and v1.1.5 ship no release binary, so they have no
# measured point and the charts draw a gap. `arraypush` is absent before v1.5.2:
# Array.push was quadratic and a single run exceeds 10s, so it is omitted rather
# than estimated. Reproduce with tools/rakupp-bench-sweep.sh in the rakupp repo.
v0.5.1	loopsum	interp	158.2
v0.5.1	loopsum	native	26.3
v0.5.1	loopsum	rakudo	222.4
v0.5.1	fib	interp	736.0
v0.5.1	fib	native	164.2
v0.5.1	fib	rakudo	311.5
v0.5.1	strcat	interp	11.4
v0.5.1	strcat	native	4.2
v0.5.1	strcat	rakudo	97.9
v0.5.1	startup	interp	3.0
v0.5.1	startup	native	2.1
v0.5.1	startup	rakudo	82.9
v0.5.1	arrayops	interp	95.1
v0.5.1	arrayops	native	92.7
v0.5.1	arrayops	rakudo	188.4
v0.5.1	sortnums	interp	69.2
v0.5.1	sortnums	native	49.6
v0.5.1	sortnums	rakudo	204.2
v0.5.1	sortby	interp	2732.4
v0.5.1	sortby	native	2683.4
v0.5.1	sortby	rakudo	192.4
v0.5.1	regex	interp	86.4
v0.5.1	regex	native	69.2
v0.5.1	regex	rakudo	178.7
v0.5.1	hash	interp	33.7
v0.5.1	hash	native	16.1
v0.5.1	hash	rakudo	128.5
v0.5.1	hashfill	interp	210.6
v0.5.1	hashfill	native	155.5
v0.5.1	hashfill	rakudo	327.7
v0.5.1	bigint	interp	31.9
v0.5.1	bigint	native	29.9
v0.5.1	bigint	rakudo	165.9
v0.5.1	streq	interp	839.8
v0.5.1	streq	native	453.6
v0.5.1	streq	rakudo	234.7
v0.5.1	textsplit	interp	5510.4
v0.5.1	textsplit	native	5346.0
v0.5.1	textsplit	rakudo	181.1
v0.5.1	rats	interp	277.4
v0.5.1	rats	native	201.3
v0.5.1	rats	rakudo	234.5
v0.5.1	objects	interp	444.9
v0.5.1	objects	native	247.5
v0.5.1	objects	rakudo	206.6
v0.7.1	loopsum	interp	180.3
v0.7.1	loopsum	native	28.4
v0.7.1	loopsum	rakudo	224.3
v0.7.1	fib	interp	767.0
v0.7.1	fib	native	169.0
v0.7.1	fib	rakudo	311.3
v0.7.1	strcat	interp	12.1
v0.7.1	strcat	native	4.1
v0.7.1	strcat	rakudo	95.7
v0.7.1	startup	interp	3.0
v0.7.1	startup	native	2.2
v0.7.1	startup	rakudo	81.7
v0.7.1	arrayops	interp	105.2
v0.7.1	arrayops	native	101.6
v0.7.1	arrayops	rakudo	183.0
v0.7.1	sortnums	interp	63.3
v0.7.1	sortnums	native	51.6
